Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch A (1_to_lock_1_to_unlock),32,8,47,4990,15,29,68.08510638297872,0.5811623246492986,34.33313435381401
Arch A (1_to_lock_rest_to_unlock),32,8,47,4990,15,29,68.08510638297872,0.5811623246492986,34.33313435381401
Arch A (1_to_lock_1_to_unlock),32,9,47,4990,15,10,68.08510638297872,0.2004008016032064,34.142753592290966
Arch A (1_to_lock_rest_to_unlock),32,9,47,4990,15,10,68.08510638297872,0.2004008016032064,34.142753592290966
Arch A (1_to_lock_1_to_unlock),32,10,47,4990,15,5,68.08510638297872,0.1002004008016032,34.09265339189016
Arch A (1_to_lock_rest_to_unlock),32,10,47,4990,15,5,68.08510638297872,0.1002004008016032,34.09265339189016
Arch A (1_to_lock_1_to_unlock),32,11,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_rest_to_unlock),32,11,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_1_to_unlock),34,5,47,4990,15,231,68.08510638297872,4.629258517034068,36.3571824500064
Arch A (1_to_lock_rest_to_unlock),34,5,47,4990,15,231,68.08510638297872,4.629258517034068,36.3571824500064
Arch A (1_to_lock_1_to_unlock),34,6,47,4990,15,142,68.08510638297872,2.845691382765531,35.46539888287213
Arch A (1_to_lock_rest_to_unlock),34,6,47,4990,15,142,68.08510638297872,2.845691382765531,35.46539888287213
Arch A (1_to_lock_1_to_unlock),34,7,47,4990,15,83,68.08510638297872,1.6633266533066133,34.87421651814267
Arch A (1_to_lock_rest_to_unlock),34,7,47,4990,15,83,68.08510638297872,1.6633266533066133,34.87421651814267
Arch A (1_to_lock_1_to_unlock),34,8,47,4990,15,44,68.08510638297872,0.8817635270541082,34.48343495501641
Arch A (1_to_lock_rest_to_unlock),34,8,47,4990,15,44,68.08510638297872,0.8817635270541082,34.48343495501641
Arch A (1_to_lock_1_to_unlock),34,9,47,4990,15,24,68.08510638297872,0.48096192384769537,34.28303415341321
Arch A (1_to_lock_rest_to_unlock),34,9,47,4990,15,24,68.08510638297872,0.48096192384769537,34.28303415341321
Arch A (1_to_lock_1_to_unlock),34,10,47,4990,14,13,70.2127659574468,0.2605210420841683,35.236643499765485
Arch A (1_to_lock_rest_to_unlock),34,10,47,4990,14,13,70.2127659574468,0.2605210420841683,35.236643499765485
